,month,year,area_burned_m2,emissions_gDM,emissions_gC,total_emissions_gC,forest_emissions_gDM,forest_emissions_gC,total_forest_emissions_gC,area_burned_ha,area_burned_km2,total_emissions_kgC,total_emissions_TgC,total_forest_emissions_kgC,total_forest_emissions_TgC
0,01,1997,532165885952.0,366267429027840.0,366267429027840.0,361814755901440.0,5012805648384.0,2448356278272.0,4954759102464.0,53216588.5952,532165.885952,361814755901.44,361.81475590144,4954759102.464,4.954759102464
1,02,1997,295102480384.0,300128892092416.0,300128892092416.0,296552258076672.0,4147510771712.0,2023967948800.0,4097723334656.0,29510248.0384,295102.480384,296552258076.672,296.552258076672,4097723334.656,4.097723334656
2,03,1997,153777537024.0,177656003821568.0,177656003821568.0,175506238472192.0,13255093256192.0,6445800095744.0,13073346723840.0,15377753.7024,153777.537024,175506238472.192,175.506238472192,13073346723.84,13.07334672384
3,04,1997,181007630336.0,192769842741248.0,192769842741248.0,189450151788544.0,57521486168064.0,27286122266624.0,56046865350656.0,18100763.0336,181007.630336,189450151788.544,189.45015178854402,56046865350.656,56.046865350656
4,05,1997,214485581824.0,231957292122112.0,231957292122112.0,227698026741760.0,74460346449920.0,34949870649344.0,72180045971456.0,21448558.1824,214485.581824,227698026741.76,227.69802674176,72180045971.456,72.180045971456
5,06,1997,312950456320.0,292045662978048.0,292045662978048.0,288022989897728.0,37755874705408.0,17619197362176.0,36497134714880.0,31295045.632,312950.45632,288022989897.728,288.02298989772805,36497134714.88,36.49713471488
6,07,1997,459018895360.0,463521829617664.0,463521829617664.0,458101278900224.0,35883780669440.0,16819100319744.0,34760990654464.0,45901889.536,459018.89536,458101278900.224,458.101278900224,34760990654.464,34.760990654463995
7,08,1997,660492386304.0,952240084877312.0,952240084877312.0,950863480750080.0,22008903499776.0,10450275139584.0,21454726889472.0,66049238.6304,660492.386304,950863480750.08,950.8634807500799,21454726889.472,21.454726889472
8,09,1997,550557253632.0,1535910101385216.0,1535910101385216.0,1564696045944832.0,16196969693184.0,7694331674624.0,15792817045504.0,55055725.3632,550557.253632,1564696045944.832,1564.6960459448321,15792817045.504,15.792817045504
9,10,1997,432003874816.0,866369931313152.0,866369931313152.0,876042331881472.0,24401445650432.0,11544974852096.0,23745697677312.0,43200387.4816,432003.874816,876042331881.472,876.042331881472,23745697677.312,23.745697677312002
10,11,1997,436097679360.0,285728739164160.0,285728739164160.0,283353152487424.0,7757012926464.0,3752111374336.0,7630617575424.0,43609767.936,436097.67936,283353152487.424,283.353152487424,7630617575.424,7.630617575424
11,12,1997,659940376576.0,394211559997440.0,394211559997440.0,389294963294208.0,36317035495424.0,17563462402048.0,35721981198336.0,65994037.6576,659940.376576,389294963294.208,389.294963294208,35721981198.336,35.721981198335996
12,01,1998,570916864000.0,489997551534080.0,489997551534080.0,484199647674368.0,22289215127552.0,10872881676288.0,22017489240064.0,57091686.4,570916.864,484199647674.368,484.199647674368,22017489240.064,22.017489240064
13,02,1998,242777554944.0,321733584224256.0,321733584224256.0,318179163242496.0,13362013405184.0,6481602150400.0,13162608852992.0,24277755.4944,242777.554944,318179163242.496,318.179163242496,13162608852.992,13.162608852992001
14,03,1998,238189281280.0,507887264727040.0,507887264727040.0,502762328555520.0,31098797031424.0,14829807992832.0,30379205459968.0,23818928.128,238189.28128,502762328555.52,502.76232855552,30379205459.968,30.379205459968
15,04,1998,264372666368.0,386081790885888.0,386081790885888.0,380466188255232.0,69068782567424.0,32556290408448.0,67090681692160.0,26437266.6368,264372.666368,380466188255.232,380.466188255232,67090681692.16,67.09068169216
16,05,1998,338779635712.0,529939371655168.0,529939371655168.0,522307617423360.0,84138384162816.0,39458514665472.0,81527706746880.0,33877963.5712,338779.635712,522307617423.36,522.3076174233599,81527706746.88,81.52770674688
17,06,1998,417188511744.0,380088902221824.0,380088902221824.0,374749989437440.0,40980405288960.0,19111897726976.0,39602098274304.0,41718851.1744,417188.511744,374749989437.44,374.74998943744,39602098274.304,39.602098274304
18,07,1998,553528197120.0,671297080131584.0,671297080131584.0,659257414385664.0,196578639872000.0,91505570086912.0,189794890022912.0,55352819.712,553528.19712,659257414385.664,659.257414385664,189794890022.912,189.794890022912
19,08,1998,706311684096.0,991977994715136.0,991977994715136.0,976378740604928.0,216732270592000.0,100986844610560.0,209352979906560.0,70631168.4096,706311.684096,976378740604.928,976.378740604928,209352979906.56,209.35297990656
20,09,1998,569583337472.0,675038265081856.0,675038265081856.0,665351771652096.0,103381666365440.0,48303517466624.0,99994354843648.0,56958333.7472,569583.337472,665351771652.096,665.351771652096,99994354843.648,99.994354843648
21,10,1998,448949354496.0,330909714743296.0,330909714743296.0,326621592551424.0,29727341412352.0,14081986658304.0,28945657364480.0,44894935.4496,448949.354496,326621592551.424,326.621592551424,28945657364.48,28.94565736448
22,11,1998,440201150464.0,217862853623808.0,217862853623808.0,215204906401792.0,4616231059456.0,2239544950784.0,4547660480512.0,44020115.0464,440201.150464,215204906401.792,215.204906401792,4547660480.512,4.5476604805120004
23,12,1998,669195304960.0,448286171332608.0,448286171332608.0,442967659642880.0,7376438558720.0,3584780140544.0,7272999682048.0,66919530.496,669195.30496,442967659642.88,442.96765964288,7272999682.048,7.272999682048001
24,01,1999,443359297536.0,347704915918848.0,347704915918848.0,343529704390656.0,4505851658240.0,2204164161536.0,4457089728512.0,44335929.7536,443359.297536,343529704390.656,343.529704390656,4457089728.512,4.457089728512
25,02,1999,265472458752.0,289957671337984.0,289957671337984.0,286573572653056.0,20075161583616.0,9819183382528.0,19856764174336.0,26547245.8752,265472.458752,286573572653.056,286.57357265305603,19856764174.336,19.856764174336
26,03,1999,171293573120.0,252267571707904.0,252267571707904.0,249406704058368.0,23853564690432.0,11660283609088.0,23587067002880.0,17129357.312,171293.57312,249406704058.368,249.406704058368,23587067002.88,23.58706700288
27,04,1999,172175081472.0,173745201217536.0,173745201217536.0,171051199758336.0,39458791489536.0,18809276596224.0,38538674438144.0,17217508.1472,172175.081472,171051199758.336,171.051199758336,38538674438.144,38.538674438144
28,05,1999,247719198720.0,250441405300736.0,250441405300736.0,246027202330624.0,67261343727616.0,31507355795456.0,65138027659264.0,24771919.872,247719.19872,246027202330.624,246.027202330624,65138027659.264,65.138027659264
29,06,1999,339204341760.0,304247933501440.0,304247933501440.0,300114128142336.0,29133832716288.0,13619002605568.0,28185920012288.0,33920434.176,339204.34176,300114128142.336,300.11412814233597,28185920012.288,28.185920012287998
30,07,1999,479658409984.0,503428618911744.0,503428618911744.0,495881354739712.0,83934993973248.0,39170370174976.0,81137871355904.0,47965840.9984,479658.409984,495881354739.712,495.881354739712,81137871355.904,81.13787135590401
31,08,1999,636805447680.0,802826829692928.0,802826829692928.0,793592515788800.0,47561922576384.0,22383282880512.0,46164246265856.0,63680544.768,636805.44768,793592515788.8,793.5925157888,46164246265.856,46.164246265856
32,09,1999,660824129536.0,670062344142848.0,670062344142848.0,664469759852544.0,25610776739840.0,12274011996160.0,25079400366080.0,66082412.9536,660824.129536,664469759852.544,664.4697598525439,25079400366.08,25.07940036608
33,10,1999,538783449088.0,331517788160000.0,331517788160000.0,327439850930176.0,19032702976000.0,9141633417216.0,18657983856640.0,53878344.9088,538783.449088,327439850930.176,327.439850930176,18657983856.64,18.657983856639998
34,11,1999,532860731392.0,237716641939456.0,237716641939456.0,234800526917632.0,7831687266304.0,3800794398720.0,7716638031872.0,53286073.1392,532860.731392,234800526917.632,234.800526917632,7716638031.872,7.716638031872
35,12,1999,672031506432.0,401243528757248.0,401243528757248.0,396445614080000.0,11803874557952.0,5750052093952.0,11651989372928.0,67203150.6432,672031.506432,396445614080.0,396.44561408,11651989372.928,11.651989372928
36,01,2000,513011548160.0,403183176253440.0,403183176253440.0,398369490993152.0,8415594151936.0,4113330864128.0,8321127940096.0,51301154.816,513011.54816,398369490993.152,398.369490993152,8321127940.096,8.321127940096
37,02,2000,327179730944.0,359033697468416.0,359033697468416.0,354834293194752.0,5881528844288.0,2871863017472.0,5812627439616.0,32717973.0944,327179.730944,354834293194.752,354.83429319475204,5812627439.616,5.8126274396160005
38,03,2000,172688637952.0,244767048859648.0,244767048859648.0,241908379025408.0,12189870063616.0,5942862675968.0,12037797183488.0,17268863.7952,172688.637952,241908379025.408,241.90837902540798,12037797183.488,12.037797183488001
39,04,2000,180111900672.0,252059232239616.0,252059232239616.0,248383293882368.0,47139690381312.0,22439253770240.0,46009098960896.0,18011190.0672,180111.900672,248383293882.368,248.383293882368,46009098960.896,46.009098960896004
40,05,2000,246207496192.0,265998380826624.0,265998380826624.0,261175753310208.0,73556482326528.0,34378767925248.0,71157004894208.0,24620749.6192,246207.496192,261175753310.208,261.175753310208,71157004894.208,71.15700489420799
41,06,2000,351585665024.0,324664731631616.0,324664731631616.0,319747396730880.0,50287234514944.0,23446333423616.0,48589950681088.0,35158566.5024,351585.665024,319747396730.88,319.74739673088,48589950681.088,48.589950681088
42,07,2000,455222886400.0,461455950348288.0,461455950348288.0,454855122485248.0,73300956938240.0,34182434652160.0,70832911024128.0,45522288.64,455222.8864,454855122485.248,454.855122485248,70832911024.128,70.83291102412801
43,08,2000,385019215872.0,363500530565120.0,363500530565120.0,358912834404352.0,35699604586496.0,16928090357760.0,34777893699584.0,38501921.5872,385019.215872,358912834404.352,358.912834404352,34777893699.584,34.777893699584
44,09,2000,728602509312.0,512581026447360.0,512581026447360.0,506639912271872.0,16073791373312.0,7715212492800.0,15752108179456.0,72860250.9312,728602.509312,506639912271.872,506.639912271872,15752108179.456,15.752108179456
45,10,2000,524700418048.0,235074482077696.0,235074482077696.0,232212842676224.0,8017407901696.0,3875924869120.0,7884628819968.0,52470041.8048,524700.418048,232212842676.224,232.212842676224,7884628819.968,7.884628819968
46,11,2000,444638232576.0,163402919968768.0,163402919968768.0,161381835866112.0,3161968607232.0,1539287941120.0,3120272244736.0,44463823.2576,444638.232576,161381835866.112,161.381835866112,3120272244.736,3.120272244736
47,12,2000,579508371456.0,305895187677184.0,305895187677184.0,302254766686208.0,968847392768.0,474169475072.0,958593171456.0,57950837.1456,579508.371456,302254766686.208,302.25476668620803,958593171.456,0.958593171456
48,01,2001,591944941568.0,340036084039680.0,340036084039680.0,335976970846208.0,2821042733056.0,1377353859072.0,2787875225600.0,59194494.1568,591944.941568,335976970846.208,335.976970846208,2787875225.6,2.7878752256
49,02,2001,237497827328.0,225003287085056.0,225003287085056.0,222372200185856.0,3785223831552.0,1850405552128.0,3743017336832.0,23749782.7328,237497.827328,222372200185.856,222.37220018585597,3743017336.832,3.7430173368319997
50,03,2001,141305233408.0,144735549259776.0,144735549259776.0,143042912714752.0,9487826026496.0,4623797059584.0,9367709548544.0,14130523.3408,141305.233408,143042912714.752,143.04291271475202,9367709548.544,9.367709548544001
51,04,2001,182771499008.0,148440310874112.0,148440310874112.0,146327522508800.0,25628571074560.0,12303689842688.0,25117975379968.0,18277149.9008,182771.499008,146327522508.8,146.3275225088,25117975379.968,25.117975379967998
52,05,2001,264693645312.0,191469222625280.0,191469222625280.0,188683365908480.0,24708368039936.0,11620771168256.0,23974956236800.0,26469364.5312,264693.645312,188683365908.48,188.68336590848,23974956236.8,23.9749562368
53,06,2001,308848885760.0,244348608315392.0,244348608315392.0,241159829979136.0,13195972444160.0,6158778630144.0,12756764852224.0,30884888.576,308848.88576,241159829979.136,241.159829979136,12756764852.224,12.756764852224
54,07,2001,583372111872.0,560648689811456.0,560648689811456.0,552376079482880.0,89373420814336.0,41636604149760.0,86323314556928.0,58337211.1872,583372.111872,552376079482.88,552.37607948288,86323314556.928,86.323314556928
55,08,2001,861162897408.0,824023432822784.0,824023432822784.0,814608461856768.0,49808047865856.0,23357856677888.0,48261880610816.0,86116289.7408,861162.897408,814608461856.768,814.6084618567679,48261880610.816,48.261880610816
56,09,2001,607589957632.0,463497502654464.0,463497502654464.0,458253481803776.0,13518645493760.0,6405251661824.0,13164573884416.0,60758995.7632,607589.957632,458253481803.776,458.253481803776,13164573884.416,13.164573884416
57,10,2001,482171125760.0,269398719856640.0,269398719856640.0,265937999626240.0,15897686179840.0,7564047679488.0,15512891293696.0,48217112.576,482171.12576,265937999626.24,265.93799962624,15512891293.696,15.512891293695999
58,11,2001,504565170176.0,234541973241856.0,234541973241856.0,231705029902336.0,6020159504384.0,2932245790720.0,5942325280768.0,50456517.0176,504565.170176,231705029902.336,231.705029902336,5942325280.768,5.942325280767999
59,12,2001,660825899008.0,378460774072320.0,378460774072320.0,373979881668608.0,15632014770176.0,7650079145984.0,15466087055360.0,66082589.9008,660825.899008,373979881668.608,373.97988166860796,15466087055.36,15.466087055360001
60,01,2002,513921351680.0,356747533352960.0,356747533352960.0,352545142734848.0,15221308522496.0,7447874895872.0,15058528632832.0,51392135.168,513921.35168,352545142734.848,352.545142734848,15058528632.832,15.058528632832001
61,02,2002,277193588736.0,273975259168768.0,273975259168768.0,271453542940672.0,5073228791808.0,2481380392960.0,5017995051008.0,27719358.8736,277193.588736,271453542940.672,271.453542940672,5017995051.008,5.0179950510080005
62,03,2002,130994421760.0,122442395680768.0,122442395680768.0,121402241843200.0,5583195865088.0,2709360738304.0,5500958670848.0,13099442.176,130994.42176,121402241843.2,121.4022418432,5500958670.848,5.500958670847999
63,04,2002,174890893312.0,156872757739520.0,156872757739520.0,154900579221504.0,10718899339264.0,5132745965568.0,10492196159488.0,17489089.3312,174890.893312,154900579221.504,154.900579221504,10492196159.488,10.492196159488001
64,05,2002,297756884992.0,256025617760256.0,256025617760256.0,252182897098752.0,40222289035264.0,18853797036032.0,38964941553664.0,29775688.4992,297756.884992,252182897098.752,252.18289709875202,38964941553.664,38.964941553664005
65,06,2002,354027044864.0,378965835382784.0,378965835382784.0,373181755949056.0,73547036753920.0,34266408812544.0,71039925092352.0,35402704.4864,354027.044864,373181755949.056,373.181755949056,71039925092.352,71.03992509235201
66,07,2002,564188545024.0,622407266074624.0,622407266074624.0,612551456980992.0,174868687486976.0,81549592625152.0,168983944757248.0,56418854.5024,564188.545024,612551456980.992,612.5514569809919,168983944757.248,168.983944757248
67,08,2002,699375288320.0,876905687416832.0,876905687416832.0,867102491672576.0,177093715427328.0,82885218402304.0,171432076115968.0,69937528.832,699375.28832,867102491672.576,867.1024916725761,171432076115.968,171.432076115968
68,09,2002,560468131840.0,692740576772096.0,692740576772096.0,690982660079616.0,50935174791168.0,23909361516544.0,49376948912128.0,56046813.184,560468.13184,690982660079.616,690.9826600796159,49376948912.128,49.376948912128
69,10,2002,493909639168.0,414612453326848.0,414612453326848.0,411366968000512.0,18683195817984.0,8993362673664.0,18334959534080.0,49390963.9168,493909.639168,411366968000.512,411.36696800051203,18334959534.08,18.334959534080003
70,11,2002,529667129344.0,240036410818560.0,240036410818560.0,237164688310272.0,12134004031488.0,5924640522240.0,11991643062272.0,52966712.9344,529667.129344,237164688310.272,237.164688310272,11991643062.272,11.991643062271999
71,12,2002,746227171328.0,398756071604224.0,398756071604224.0,393997247840256.0,8809418326016.0,4311003430912.0,8715712331776.0,74622717.1328,746227.171328,393997247840.256,393.99724784025597,8715712331.776,8.715712331775999
72,01,2003,518948093952.0,439258082967552.0,439258082967552.0,434164385972224.0,63223445323776.0,30938018873344.0,62549739438080.0,51894809.3952,518948.093952,434164385972.224,434.164385972224,62549739438.08,62.54973943808
73,02,2003,216400035840.0,214318717075456.0,214318717075456.0,211876071866368.0,25660529573888.0,12556393512960.0,25386658299904.0,21640003.584,216400.03584,211876071866.368,211.87607186636802,25386658299.904,25.386658299904
74,03,2003,163887857664.0,233622481141760.0,233622481141760.0,230975455887360.0,19397068455936.0,9289969172480.0,18988503400448.0,16388785.7664,163887.857664,230975455887.36,230.97545588736,18988503400.448,18.988503400448003
75,04,2003,190509940736.0,244934200262656.0,244934200262656.0,240188798271488.0,86327869571072.0,40429743505408.0,83593678290944.0,19050994.0736,190509.940736,240188798271.488,240.188798271488,83593678290.944,83.593678290944
76,05,2003,348415328256.0,485802609999872.0,485802609999872.0,475447880056832.0,211612736684032.0,98523244658688.0,204329613000704.0,34841532.8256,348415.328256,475447880056.832,475.447880056832,204329613000.704,204.329613000704
77,06,2003,309524365312.0,398005224079360.0,398005224079360.0,391529218703360.0,128027262451712.0,59577617874944.0,123591249100800.0,30952436.5312,309524.365312,391529218703.36,391.52921870335996,123591249100.8,123.5912491008
78,07,2003,455596802048.0,527422621483008.0,527422621483008.0,519369725575168.0,114455786553344.0,53356290637824.0,110584183914496.0,45559680.2048,455596.802048,519369725575.168,519.369725575168,110584183914.496,110.58418391449601
79,08,2003,593087561728.0,667240684847104.0,667240684847104.0,658838118203392.0,102067054051328.0,47876440850432.0,98909967876096.0,59308756.1728,593087.561728,658838118203.392,658.838118203392,98909967876.096,98.90996787609599
80,09,2003,416803979264.0,453822988156928.0,453822988156928.0,449615363047424.0,27183626059776.0,12902731874304.0,26494545952768.0,41680397.9264,416803.979264,449615363047.424,449.615363047424,26494545952.768,26.494545952768
81,10,2003,445559865344.0,308481429078016.0,308481429078016.0,304823761108992.0,8161948860416.0,3890902204416.0,7971876634624.0,44555986.5344,445559.865344,304823761108.992,304.823761108992,7971876634.624,7.9718766346239995
82,11,2003,401714806784.0,185113862209536.0,185113862209536.0,182890646208512.0,7095022780416.0,3469785169920.0,7017296560128.0,40171480.6784,401714.806784,182890646208.512,182.89064620851198,7017296560.128,7.017296560128
83,12,2003,669438967808.0,367225844269056.0,367225844269056.0,362840514887680.0,2805525118976.0,1372595552256.0,2775358111744.0,66943896.7808,669438.967808,362840514887.68,362.84051488768,2775358111.744,2.775358111744
84,01,2004,426457464832.0,296578296315904.0,296578296315904.0,293137087987712.0,2360773705728.0,1155331784704.0,2335718768640.0,42645746.4832,426457.464832,293137087987.712,293.137087987712,2335718768.64,2.33571876864
85,02,2004,257093730304.0,250649006571520.0,250649006571520.0,247718949683200.0,6572561924096.0,3216052846592.0,6502334070784.0,25709373.0304,257093.730304,247718949683.2,247.7189496832,6502334070.784,6.502334070784
86,03,2004,179277561856.0,273884041445376.0,273884041445376.0,270892781273088.0,16555963318272.0,8101052809216.0,16379033944064.0,17927756.1856,179277.561856,270892781273.088,270.892781273088,16379033944.064,16.379033944064
87,04,2004,135245119488.0,116579043901440.0,116579043901440.0,115009510178816.0,10587558903808.0,5128568963072.0,10422348414976.0,13524511.9488,135245.119488,115009510178.816,115.009510178816,10422348414.976,10.422348414976
88,05,2004,247209066496.0,233527438213120.0,233527438213120.0,230330506149888.0,24735467438080.0,11641119834112.0,24008854601728.0,24720906.6496,247209.066496,230330506149.888,230.330506149888,24008854601.728,24.008854601728
89,06,2004,431612723200.0,386365728489472.0,386365728489472.0,381418798579712.0,37593974571008.0,17535782092800.0,36332768329728.0,43161272.32,431612.7232,381418798579.712,381.41879857971196,36332768329.728,36.332768329728
90,07,2004,467688390656.0,553452170117120.0,553452170117120.0,544354187870208.0,133924378378240.0,62328678645760.0,129290863640576.0,46768839.0656,467688.390656,544354187870.208,544.354187870208,129290863640.576,129.290863640576
91,08,2004,585811427328.0,682602977558528.0,682602977558528.0,676567474765824.0,60178816827392.0,28105710239744.0,58195120750592.0,58581142.7328,585811.427328,676567474765.824,676.5674747658239,58195120750.592,58.195120750592004
92,09,2004,575304499200.0,738628007362560.0,738628007362560.0,732754572476416.0,9763446325248.0,4656944119808.0,9538667282432.0,57530449.92,575304.4992,732754572476.416,732.754572476416,9538667282.432,9.538667282432
93,10,2004,592524214272.0,428437852389376.0,428437852389376.0,425400740085760.0,19695423979520.0,9344996343808.0,19192707284992.0,59252421.4272,592524.214272,425400740085.76,425.40074008576,19192707284.992,19.192707284992
94,11,2004,499322290176.0,221402745536512.0,221402745536512.0,218742080405504.0,3458486501376.0,1683454951424.0,3412698071040.0,49932229.0176,499322.290176,218742080405.504,218.742080405504,3412698071.04,3.41269807104
95,12,2004,592278519808.0,343667545997312.0,343667545997312.0,339561959915520.0,3202681143296.0,1566421024768.0,3167761727488.0,59227851.9808,592278.519808,339561959915.52,339.56195991552,3167761727.488,3.167761727488
96,01,2005,562136285184.0,430410383228928.0,430410383228928.0,425748699545600.0,1959526400000.0,958901846016.0,1938664980480.0,56213628.5184,562136.285184,425748699545.6,425.74869954559995,1938664980.48,1.93866498048
97,02,2005,207823962112.0,245570358738944.0,245570358738944.0,243916997656576.0,3459287089152.0,1692283043840.0,3421926588416.0,20782396.2112,207823.962112,243916997656.576,243.916997656576,3421926588.416,3.421926588416
98,03,2005,156171911168.0,208479272828928.0,208479272828928.0,206643895730176.0,8743092224000.0,4221560160256.0,8593106534400.0,15617191.1168,156171.911168,206643895730.176,206.64389573017598,8593106534.4,8.5931065344
99,04,2005,175391096832.0,187586572189696.0,187586572189696.0,185169428348928.0,20072294776832.0,9671195754496.0,19707344191488.0,17539109.6832,175391.096832,185169428348.928,185.16942834892802,19707344191.488,19.707344191487998
100,05,2005,246453764096.0,207812076503040.0,207812076503040.0,205003822202880.0,16760206000128.0,7911420985344.0,16291523985408.0,24645376.4096,246453.764096,205003822202.88,205.00382220288,16291523985.408,16.291523985408002
101,06,2005,385655046144.0,355918101348352.0,355918101348352.0,350904767217664.0,53574037929984.0,24981763260416.0,51768784322560.0,38565504.6144,385655.046144,350904767217.664,350.904767217664,51768784322.56,51.768784322559995
102,07,2005,583543881728.0,578567729577984.0,578567729577984.0,570226903089152.0,85671796539392.0,39904784416768.0,82740682686464.0,58354388.1728,583543.881728,570226903089.152,570.226903089152,82740682686.464,82.740682686464
103,08,2005,608904675328.0,854776136859648.0,854776136859648.0,845865623224320.0,55748893605888.0,26088780595200.0,53963227398144.0,60890467.5328,608904.675328,845865623224.32,845.86562322432,53963227398.144,53.963227398144
104,09,2005,479947554816.0,642005268955136.0,642005268955136.0,636323899637760.0,10552752472064.0,5008885022720.0,10285261783040.0,47994755.4816,479947.554816,636323899637.76,636.3238996377601,10285261783.04,10.285261783040001
105,10,2005,378864828416.0,285369874513920.0,285369874513920.0,281590806609920.0,26691233644544.0,12546911240192.0,25892529111040.0,37886482.8416,378864.828416,281590806609.92,281.59080660992,25892529111.04,25.89252911104
106,11,2005,528438067200.0,254228794703872.0,254228794703872.0,251067765882880.0,4359755661312.0,2110994776064.0,4290872606720.0,52843806.72,528438.0672,251067765882.88,251.06776588288,4290872606.72,4.29087260672
107,12,2005,628312178688.0,359406185218048.0,359406185218048.0,355075482451968.0,2969708789760.0,1452929318912.0,2937783844864.0,62831217.8688,628312.178688,355075482451.968,355.075482451968,2937783844.864,2.9377838448639997
108,01,2006,384704610304.0,269311478333440.0,269311478333440.0,266073794412544.0,6210988277760.0,3037697671168.0,6143191547904.0,38470461.0304,384704.610304,266073794412.544,266.07379441254403,6143191547.904,6.143191547904
109,02,2006,158996103168.0,130793875701760.0,130793875701760.0,129213914939392.0,4412779003904.0,2157069598720.0,4363459231744.0,15899610.3168,158996.103168,129213914939.392,129.213914939392,4363459231.744,4.363459231744001
110,03,2006,145382359040.0,177279556648960.0,177279556648960.0,175321470992384.0,15108289855488.0,7379847479296.0,14933992407040.0,14538235.904,145382.35904,175321470992.384,175.321470992384,14933992407.04,14.933992407040002
111,04,2006,144798744576.0,147041376272384.0,147041376272384.0,144748786483200.0,27734405283840.0,13214433673216.0,27081635266560.0,14479874.4576,144798.744576,144748786483.2,144.7487864832,27081635266.56,27.081635266560003
112,05,2006,234728325120.0,258806911074304.0,258806911074304.0,253935914844160.0,77333503410176.0,36268016664576.0,74934764175360.0,23472832.512,234728.32512,253935914844.16,253.93591484416,74934764175.36,74.93476417536
113,06,2006,360244477952.0,332177703174144.0,332177703174144.0,327266374516736.0,51864175378432.0,24174651244544.0,50106741030912.0,36024447.7952,360244.477952,327266374516.736,327.26637451673605,50106741030.912,50.106741030912005
114,07,2006,460364054528.0,551875648684032.0,551875648684032.0,542960336764928.0,137250033631232.0,63982589181952.0,132607601803264.0,46036405.4528,460364.054528,542960336764.928,542.960336764928,132607601803.264,132.607601803264
115,08,2006,654528610304.0,756182008463360.0,756182008463360.0,750158987919360.0,30992792289280.0,14712916934656.0,30209313079296.0,65452861.0304,654528.610304,750158987919.36,750.15898791936,30209313079.296,30.209313079296003
116,09,2006,524429885440.0,673840908730368.0,673840908730368.0,675763443466240.0,22797631881216.0,10807099260928.0,22205916250112.0,52442988.544,524429.88544,675763443466.24,675.76344346624,22205916250.112,22.205916250112
117,10,2006,382459838464.0,491495287160832.0,491495287160832.0,497906700255232.0,8953280856064.0,4264173502464.0,8740814192640.0,38245983.8464,382459.838464,497906700255.232,497.906700255232,8740814192.64,8.74081419264
118,11,2006,579183575040.0,268987074084864.0,268987074084864.0,266412358631424.0,8283661271040.0,4048971890688.0,8190802526208.0,57918357.504,579183.57504,266412358631.424,266.412358631424,8190802526.208,8.190802526208
119,12,2006,652207259648.0,423115683266560.0,423115683266560.0,418077351084032.0,40881667178496.0,20006368706560.0,40447200198656.0,65220725.9648,652207.259648,418077351084.032,418.077351084032,40447200198.656,40.447200198656
